I also had to taste my Mom's multi-grain pumpkin pancakes with pecan butter and they were amazing, fluffy, and delicious!	///////1.0///////Positive///////
I'd rather eat airline food, seriously.	///////1.0///////Negative///////
Cant say enough good things about this place.	///////1.0///////Positive///////
The ambiance was incredible.	///////1.0///////Positive///////
The waitress and manager are so friendly.	///////1.0///////Positive///////
I would not recommend this place.	///////0.0///////Negative///////
Overall I wasn't very impressed with Noca.	///////0.0///////Negative///////
My gyro was basically lettuce only.	///////0.0///////Negative///////
Terrible service!	///////0.0///////Negative///////
Thoroughly disappointed!	///////0.0///////Negative///////
I don't each much pasta, but I love the homemade /hand made pastas and thin pizzas here.	///////-0.19495254755020142///////Positive///////
Give it a try, you will be happy you did.	///////1.0///////Positive///////
By far the BEST cheesecurds we have ever had!	///////0.0///////Positive///////
Reasonably priced also!	///////1.0///////Positive///////
Everything was perfect the night we were in.	///////1.0///////Positive///////
The food is very good for your typical bar food.	///////1.0///////Positive///////
it was a drive to get there.	///////1.0///////Negative///////
At first glance it is a lovely bakery cafe - nice ambiance, clean, friendly staff.	///////1.0///////Positive///////
Anyway, I do not think i will go back there.	///////0.0///////Negative///////
Point your finger at any item on the menu, order it and you won't be disappointed.	///////1.0///////Positive///////
Oh this is such a thing of beauty, this restaurant.	///////0.0///////Positive///////
If you haven't gone here GO NOW!	///////0.0///////Positive///////
A greasy, unhealthy meal.	///////0.0///////Negative///////
first time there and might just be the last.	///////1.0///////Negative///////
Those burgers were amazing.	///////1.0///////Positive///////
Similarly, the delivery man did not say a word of apology when our food was 45 minutes late.	///////0.0///////Negative///////
And it was way to expensive.	///////0.0///////Negative///////
Be sure to order dessert, even if you need to pack it to-go - the tiramisu and cannoli are both to die for.	///////-0.21352174878120422///////Positive///////
This was my first time and I can't wait until the next.	///////1.0///////Positive///////
The bartender was also nice.	///////1.0///////Positive///////
Everything was good and tasty!	///////1.0///////Positive///////
This place is two thumbs up....way up.	///////0.0///////Positive///////
The best place in Vegas for breakfast (just check out a Sat, or Sun.	///////0.0///////Positive///////
If you love authentic Mexican food and want a whole bunch of interesting, yet delicious meats to choose from, you need to try this place.	///////1.0///////Positive///////
Terrible management.	///////0.0///////Negative///////
An excellent new restaurant by an experienced Frenchman.	///////1.0///////Positive///////
If there were zero stars I would give it zero stars.	///////1.0///////Negative///////
Great steak, great sides, great wine, amazing desserts.	///////1.0///////Positive///////
Worst martini ever!	///////1.0///////Negative///////
The steak and the shrimp are in my opinion the best entrees at GC.	///////0.0///////Positive///////
I had the opportunity today to sample your amazing pizzas!	///////1.0///////Positive///////
We waited for thirty minutes to be seated (although there were 8 vacant tables and we were the only folks waiting).	///////-0.06414395570755005///////Negative///////
The yellowtail carpaccio was melt in your mouth fresh.	///////1.0///////Positive///////
I won't try going back there even if it's empty.	///////0.0///////Negative///////
No, I'm going to eat the potato that I found some strangers hair in it.	///////-0.4408382885158062///////Negative///////
Just spicy enough.. Perfect actually.	///////1.0///////Positive///////
Last night was my second time dining here and I was so happy I decided to go back!	///////1.0///////Positive///////
not even a "hello, we will be right with you."	///////1.0///////Negative///////
The desserts were a bit strange.	///////0.0///////Negative///////
My boyfriend and I came here for the first time on a recent trip to Vegas and could not have been more pleased with the quality of food and service.	///////-0.1324164867401123///////Positive///////
I really do recommend this place, you can go wrong with this donut place!	///////-0.11754006147384644///////Positive///////
Nice ambiance.	///////0.0///////Positive///////
I would recommend saving room for this!	///////1.0///////Positive///////
I guess maybe we went on an off night but it was disgraceful.	///////-0.3539959788322449///////Negative///////
However, my recent experience at this particular location was not so good.	///////0.0///////Negative///////
I know this is not like the other restaurants at all, something is very off here!	///////1.0///////Negative///////
AVOID THIS ESTABLISHMENT!	///////0.0///////Negative///////
I think this restaurant suffers from not trying hard enough.	///////0.0///////Negative///////
All of the tapas dishes were delicious!	///////1.0///////Positive///////
I *heart* this place.	///////0.0///////Positive///////
My salad had a bland vinegrette on the baby greens and hearts of Palm.	///////0.0///////Negative///////
After two I felt disgusting.	///////-0.17414936423301697///////Negative///////
A good time!	///////1.0///////Positive///////
I believe that this place is a great stop for those with a huge belly and hankering for sushi.	///////1.0///////Positive///////
Generous portions and great taste.	///////1.0///////Positive///////
I will never go back to this place and will never ever recommended this place to anyone!	///////0.0///////Negative///////
The servers went back and forth several times, not even so much as an "Are you being helped?"	///////-0.33128419518470764///////Negative///////
Food was delicious!	///////1.0///////Positive///////
AN HOUR... seriously?	///////0.0///////Negative///////
I consider this theft.	///////1.0///////Negative///////
Eew... This location needs a complete overhaul.	///////1.0///////Negative///////
We recently witnessed her poor quality of management towards other guests as well.	///////1.0///////Negative///////
Waited and waited and waited.	///////0.0///////Negative///////
He also came back to check on us regularly, excellent service.	///////1.0///////Positive///////
Our server was super nice and checked on us many times.	///////1.0///////Positive///////
The pizza tasted old, super chewy in not a good way.	///////1.0///////Negative///////
I swung in to give them a try but was deeply disappointed.	///////1.0///////Negative///////
Service was good and the company was better!	///////1.0///////Positive///////
The staff are also very friendly and efficient.	///////1.0///////Positive///////
As for the service: I'm a fan, because it's quick and you're being served by some nice folks.	///////1.0///////Positive///////
Boy was that sucker dry!!.	///////1.0///////Negative///////
Over rated.	///////1.0///////Negative///////
If you look for authentic Thai food, go else where.	///////1.0///////Negative///////
Their steaks are 100% recommended!	///////1.0///////Positive///////
After I pulled up my car I waited for another 15 minutes before being acknowledged.	///////1.0///////Negative///////
Great food and great service in a clean and friendly setting.	///////1.0///////Positive///////
All in all, I can assure you I'll be back.	///////1.0///////Positive///////
I hate those things as much as cheap quality black olives.	///////0.0///////Negative///////
My breakfast was perpared great, with a beautiful presentation of 3 giant slices of Toast, lightly dusted with powdered sugar.	///////-0.27263012528419495///////Positive///////
The kids play area is NASTY!	///////0.0///////Negative///////
Great place fo take out or eat in.	///////1.0///////Positive///////
The waitress was friendly and happy to accomodate for vegan/veggie options.	///////1.0///////Positive///////
OMG I felt like I had never eaten Thai food until this dish.	///////1.0///////Positive///////
It was extremely "crumby" and pretty tasteless.	///////0.0///////Negative///////
It was a pale color instead of nice and char and has NO flavor.	///////1.0///////Negative///////
The croutons also taste homemade which is an extra plus.	///////1.0///////Positive///////
I got home to see the driest damn wings ever!	///////1.0///////Negative///////
It'll be a regular stop on my trips to Phoenix!	///////1.0///////Positive///////
I really enjoyed Crema Caf� before they expanded; I even told friends they had the BEST breakfast.	///////1.0///////Positive///////
Not good for the money.	///////0.0///////Negative///////
I miss it and wish they had one in Philadelphia!	///////0.0///////Positive///////
We got sitting fairly fast, but, ended up waiting 40 minutes just to place our order, another 30 minutes before the food arrived.	///////1.0///////Negative///////
They also have the best cheese crisp in town.	///////0.0///////Positive///////
Good value, great food, great service.	///////1.0///////Positive///////
Couldn't ask for a more satisfying meal.	///////0.1346561312675476///////Positive///////
The food is good.	///////1.0///////Positive///////
It was awesome.	///////1.0///////Positive///////
I just wanted to leave.	///////1.0///////Negative///////
We made the drive all the way from North Scottsdale... and I was not one bit disappointed!	///////1.0///////Positive///////
I will not be eating there again.	///////0.0///////Negative///////
!....THE OWNERS REALLY REALLY need to quit being soooooo cheap let them wrap my freaking sandwich in two papers not one!	///////0.0///////Negative///////
I checked out this place a couple years ago and was not impressed.	///////1.0///////Negative///////
The chicken I got was definitely reheated and was only ok, the wedges were cold and soggy.	///////1.0///////Negative///////
Sorry, I will not be getting food from here anytime soon :(	///////0.0///////Negative///////
An absolute must visit!	///////1.0///////Positive///////
The cow tongue and cheek tacos are amazing.	///////1.0///////Positive///////
My friend did not like his Bloody Mary.	///////0.0///////Negative///////
Despite how hard I rate businesses, its actually rare for me to give a 1 star.	///////-0.30788636207580566///////Negative///////
They really want to make your experience a good one.	///////1.0///////Positive///////
I will not return.	///////0.0///////Negative///////
I had the chicken Pho and it tasted very bland.	///////-0.05962446331977844///////Negative///////
Very disappointing!!!	///////0.0///////Negative///////
The grilled chicken was so tender and yellow from the saffron seasoning.	///////1.0///////Positive///////
a drive thru means you do not want to wait around for half an hour for your food, but somehow when we end up going here they make us wait and wait.	///////1.0///////Negative///////
Pretty awesome place.	///////1.0///////Positive///////
Ambience is perfect.	///////1.0///////Positive///////
Best of luck to the rude and non-customer service focused new management.	///////-0.2731224149465561///////Negative///////
Any grandmother can make a roasted chicken better than this one.	///////1.0///////Negative///////
I asked multiple times for the wine list and after some time of being ignored I went to the hostess and got one myself.	///////1.0///////Negative///////
The staff is always super friendly and helpful, which is especially cool when you bring two small boys and a baby!	///////1.0///////Positive///////
Four stars for the food & the guy in the blue shirt for his great vibe & still letting us in to eat !	///////1.0///////Positive///////
The roast beef sandwich tasted really good!	///////1.0///////Positive///////
Same evening, him and I are both drastically sick.	///////0.0///////Negative///////
High-quality chicken on the chicken Caesar salad.	///////0.0///////Positive///////
Ordered burger rare came in we'll done.	///////1.0///////Negative///////
We were promptly greeted and seated.	///////1.0///////Positive///////
Tried to go here for lunch and it was a madhouse.	///////1.0///////Negative///////
I was proven dead wrong by this sushi bar, not only because the quality is great, but the service is fast and the food, impeccable.	///////1.0///////Positive///////
After waiting an hour and being seated, I was not in the greatest of moods.	///////0.0///////Negative///////
This is a good joint.	///////1.0///////Positive///////
The Macarons here are insanely good.	///////1.0///////Positive///////
I'm not eating here!	///////0.0///////Negative///////
Our waiter was very attentive, friendly, and informative.	///////1.0///////Positive///////
Maybe if they weren't cold they would have been somewhat edible.	///////0.0///////Negative///////
This place has a lot of promise but fails to deliver.	///////1.0///////Negative///////
Very bad Experience!	///////0.0///////Negative///////
What a mistake.	///////0.0///////Negative///////
Food was average at best.	///////1.0///////Negative///////
Great food.	///////1.0///////Positive///////
We won't be going back anytime soon!	///////0.0///////Negative///////
Very Very Disappointed ordered the $35 Big Bay Plater.	///////1.0///////Negative///////
Great place to relax and have an awesome burger and beer.	///////1.0///////Positive///////
It is PERFECT for a sit-down family meal or get together with a few friends.	///////-0.10658124089241028///////Positive///////
Not much flavor to them, and very poorly constructed.	///////0.0///////Negative///////
The patio seating was very comfortable.	///////1.0///////Positive///////
The fried rice was dry as well.	///////1.0///////Negative///////
Hands down my favorite Italian restaurant!	///////1.0///////Positive///////
That just SCREAMS "LEGIT" in my book...somethat's also pretty rare here in Vegas.	///////0.0///////Positive///////
It was just not a fun experience.	///////0.0///////Positive///////
The atmosphere was great with a lovely duo of violinists playing songs we requested.	///////1.0///////Positive///////
I personally love the hummus, pita, baklava, falafels and Baba Ganoush (it's amazing what they do with eggplant!).	///////1.0///////Positive///////
Very convenient, since we were staying at the MGM!	///////1.0///////Positive///////
The owners are super friendly and the staff is courteous.	///////1.0///////Positive///////
Both great!	///////1.0///////Positive///////
Eclectic selection.	///////1.0///////Positive///////
The sweet potato tots were good but the onion rings were perfection or as close as I have had.	///////1.0///////Positive///////
The staff was very attentive.	///////1.0///////Positive///////
And the chef was generous with his time (even came around twice so we can take pictures with him).	///////1.0///////Positive///////
The owner used to work at Nobu, so this place is really similar for half the price.	///////1.0///////Positive///////
Google mediocre and I imagine Smashburger will pop up.	///////1.0///////Negative///////
dont go here.	///////1.0///////Negative///////
I promise they won't disappoint.	///////1.0///////Positive///////
As a sushi lover avoid this place by all means.	///////0.0///////Negative///////
What a great double cheeseburger!	///////1.0///////Positive///////
Awesome service and food.	///////1.0///////Positive///////
A fantastic neighborhood gem !!!	///////1.0///////Positive///////
I can't wait to go back.	///////1.0///////Positive///////
The plantains were the worst I've ever tasted.	///////1.0///////Negative///////
It's a great place and I highly recommend it.	///////1.0///////Positive///////
Service was slow and not attentive.	///////0.0///////Negative///////
I gave it 5 stars then, and I'm giving it 5 stars now.	///////1.0///////Positive///////
Your staff spends more time talking to themselves than me.	///////0.0///////Negative///////
Dessert: Panna Cotta was amazing.	///////1.0///////Positive///////
Very good food, great atmosphere.1	///////1.0///////Positive///////
Damn good steak.	///////0.3994271159172058///////Positive///////
Total brunch fail.	///////-0.264352411031723///////Negative///////
Prices are very reasonable, flavors are spot on, the sauce is home made, and the slaw is not drenched in mayo.	///////-0.09580233693122864///////Positive///////
The decor is nice, and the piano music soundtrack is pleasant.	///////1.0///////Positive///////
The steak was amazing...rge fillet relleno was the best seafood plate i have ever had!	///////1.0///////Positive///////
Good food , good service .	///////1.0///////Positive///////
It was absolutely amazing.	///////1.0///////Positive///////
I probably won't be back, to be honest.	///////1.0///////Negative///////
will definitely be back!	///////0.0///////Positive///////
The sergeant pepper beef sandwich with auju sauce is an excellent sandwich as well.	///////1.0///////Positive///////
Hawaiian Breeze, Mango Magic, and Pineapple Delight are the smoothies that I've tried so far and they're all good.	///////1.0///////Positive///////
Went for lunch - service was slow.	///////0.0///////Negative///////
We had so much to say about the place before we walked in that he expected it to be amazing, but was quickly disappointed.	///////-0.31250493228435516///////Negative///////
I was mortified.	///////0.0///////Negative///////
Needless to say, we will never be back here again.	///////-0.37880839407444///////Negative///////
Anyways, The food was definitely not filling at all, and for the price you pay you should expect more.	///////1.0///////Negative///////
The chips that came out were dripping with grease, and mostly not edible.	///////-0.08367767930030823///////Negative///////
I wasn't really impressed with Strip Steak.	///////0.0///////Negative///////
Have been going since 2007 and every meal has been awesome!!	///////1.0///////Positive///////
Our server was very nice and attentive as were the other serving staff.	///////1.0///////Positive///////
The cashier was friendly and even brought the food out to me.	///////1.0///////Positive///////
I work in the hospitality industry in Paradise Valley and have refrained from recommending Cibo any longer.	///////1.0///////Negative///////
The atmosphere here is fun.	///////0.0///////Positive///////
Would not recommend to others.	///////0.0///////Negative///////
Service is quick and even "to go" orders are just like we like it!	///////1.0///////Positive///////
I mean really, how do you get so famous for your fish and chips when it's so terrible!?!	///////0.12953472137451172///////Negative///////
That said, our mouths and bellies were still quite pleased.	///////1.0///////Positive///////
Not my thing.	///////0.0///////Negative///////
2 Thumbs Up!!	///////0.0///////Positive///////
If you are reading this please don't go there.	///////0.0///////Negative///////
I loved the grilled pizza, reminded me of legit Italian pizza.	///////1.0///////Positive///////
Only Pros : Large seating area/ Nice bar area/ Great simple drink menu/ The BEST brick oven pizza with homemade dough!	///////0.0///////Positive///////
They have a really nice atmosphere.	///////1.0///////Positive///////
Tonight I had the Elk Filet special...and it sucked.	///////0.0///////Negative///////
After one bite, I was hooked.	///////1.0///////Positive///////
We ordered some old classics and some new dishes after going there a few times and were sorely disappointed with everything.	///////-0.23964965343475342///////Negative///////
Cute, quaint, simple, honest.	///////0.0///////Positive///////
The chicken was deliciously seasoned and had the perfect fry on the outside and moist chicken on the inside.	///////0.0///////Positive///////
The food was great as always, compliments to the chef.	///////1.0///////Positive///////
Special thanks to Dylan T. for the recommendation on what to order :) All yummy for my tummy.	///////1.0///////Positive///////
Awesome selection of beer.	///////1.0///////Positive///////
Great food and awesome service!	///////1.0///////Positive///////
One nice thing was that they added gratuity on the bill since our party was larger than 6 or 8, and they didn't expect more tip than that.	///////-0.03283876180648804///////Positive///////
A FLY was in my apple juice.. A FLY!!!!!!!!	///////0.0///////Negative///////
The Han Nan Chicken was also very tasty.	///////1.0///////Positive///////
As for the service, I thought it was good.	///////1.0///////Positive///////
The food was barely lukewarm, so it must have been sitting waiting for the server to bring it out to us.	///////1.0///////Negative///////
Ryan's Bar is definitely one Edinburgh establishment I won't be revisiting.	///////0.0///////Negative///////
Nicest Chinese restaurant I've been in a while.	///////0.0///////Positive///////
Overall, I like there food and the service.	///////1.0///////Positive///////
They also now serve Indian naan bread with hummus and some spicy pine nut sauce that was out of this world.	///////1.0///////Positive///////
Probably never coming back, and wouldn't recommend it.	///////1.0///////Negative///////
Friend's pasta -- also bad, he barely touched it.	///////-0.3413078784942627///////Negative///////
Try them in the airport to experience some tasty food and speedy, friendly service.	///////1.0///////Positive///////
I love the decor with the Chinese calligraphy wall paper.	///////1.0///////Positive///////
Never had anything to complain about here.	///////0.0///////Positive///////
The restaurant is very clean and has a family restaurant feel to it.	///////1.0///////Positive///////
It was way over fried.	///////0.0///////Negative///////
I'm not sure how long we stood there but it was long enough for me to begin to feel awkwardly out of place.	///////1.0///////Negative///////
When I opened the sandwich, I was impressed, but not in a good way.	///////1.0///////Negative///////
Will not be back!	///////0.0///////Negative///////
There was a warm feeling with the service and I felt like their guest for a special treat.	///////1.0///////Positive///////
An extensive menu provides lots of options for breakfast.	///////1.0///////Positive///////
I always order from the vegetarian menu during dinner, which has a wide array of options to choose from.	///////1.0///////Positive///////
I have watched their prices inflate, portions get smaller and management attitudes grow rapidly!	///////1.0///////Negative///////
Wonderful lil tapas and the ambience made me feel all warm and fuzzy inside.	///////1.0///////Positive///////
I got to enjoy the seafood salad, with a fabulous vinegrette.	///////1.0///////Positive///////
The wontons were thin, not thick and chewy, almost melt in your mouth.	///////0.0///////Positive///////
Level 5 spicy was perfect, where spice didn't over-whelm the soup.	///////1.0///////Positive///////
We were sat right on time and our server from the get go was FANTASTIC!	///////1.0///////Positive///////
Main thing I didn't enjoy is that the crowd is of older crowd, around mid 30s and up.	///////-0.2639170289039612///////Negative///////
When I'm on this side of town, this will definitely be a spot I'll hit up again!	///////0.0///////Positive///////
I had to wait over 30 minutes to get my drink and longer to get 2 arepas.	///////0.0///////Negative///////
